"","X","fullname","Category","Country","League","Position","Rating","Club","DIV","REF","GKP","HAN","POS"
"12610",14040,"Logan Bailly","Basic","Belgium","Scottish Premiership","GK",64,"Celtic","63","64","64","63","64"
"12621",14051,"Mariusz Pawelek","Basic","Poland","T-Mobile Ekstraklasa","GK",64,"Slask Wroclaw","65","67","65","59","65"
"12638",14068,"Franco Costanzo","Basic","Argentina","Campeonato Scotiabank","GK",64,"Universidad Católica","64","67","65","58","65"
"12640",14070,"Lewis Price","Basic","Wales","EFL Championship","GK",64,"Rotherham United","65","63","63","65","63"
"12661",14091,"Tom Mickel","Basic","Germany","Bundesliga","GK",64,"Hamburger SV","65","66","62","62","62"
"12671",14101,"Franck L'Hostis","Basic","France","Domino’s Ligue 2","GK",64,"Clermont Foot 63","62","67","63","60","63"
"12672",14102,"Franck L'Hostis","Basic","France","Domino’s Ligue 2","GK",64,"Clermont Foot 63","62","67","63","60","63"
"12699",14131,"Arild Østbø","Basic","Norway","Tippeligaen","GK",64,"Sarpsborg 08 FF","62","67","61","64","61"
"12702",14134,"Gary Woods","Basic","England","Scottish Premiership","GK",64,"Hamilton Academical FC","69","70","58","65","58"
"12710",14143,"Julio González","Basic","Mexico","LIGA Bancomer MX","GK",64,"Santos Laguna","67","65","59","62","59"
"12723",14156,"Felipe Ovono","Basic","Equatorial Guinea","Rest of World","GK",64,"Orlando Pirates","68","74","58","63","58"
"12726",14159,"Saturnin Allagbé","Basic","Benin","Domino’s Ligue 2","GK",64,"Chamois Niortais Football Club","63","68","63","66","63"
"12748",14181,"Igor Berezovskyi","Basic","Ukraine","Bundesliga","GK",64,"SV Darmstadt 98","68","65","62","63","62"
"12752",14185,"Sebastián López","Basic","Argentina","Liga Dimayor","GK",64,"Jaguares Fútbol Club","62","62","64","65","64"
"12785",14218,"Nick Olij","Basic","Netherlands","Eredivisie","GK",64,"AZ","66","67","60","64","60"
"12794",14227,"Manuel García","Basic","Argentina","Primera División","GK",64,"Gimnasia y Esgrima La Plata","68","65","61","63","61"
"12815",14248,"Angus Gunn","Basic","England","Premier League","GK",64,"Manchester City","64","63","64","66","64"
"12833",14266,"Paul Charruau","Basic","France","Ligue 1","GK",64,"Sporting Club de Bastia","69","69","65","61","65"
"12835",14268,"Gökhan Akkan","Basic","Turkey","Süper Lig","GK",64,"Çaykur Rizespor","67","67","64","63","64"
"12869",14302,"John McCarthy","Basic","United States","Major League Soccer","GK",64,"Philadelphia Union","66","68","63","64","63"
"12877",14310,"Muslim Al Furayj","Basic","Saudi Arabia","Dawry Jameel","GK",64,"Al Khaleej","69","64","65","61","65"
"12879",14312,"Mert Kuleli","Basic","Turkey","Süper Lig","GK",64,"Çaykur Rizespor","65","69","62","62","62"
"12895",14328,"Wellington Lima","Basic","Brazil","Liga NOS","GK",64,"CS Marítimo","61","66","67","67","67"
"12901",14334,"Odisseas Vlachodimos","Basic","Germany","Rest of World","GK",64,"Panathinaikos FC","66","68","60","64","60"
"12909",14342,"Ozan Evrim Özenç","Basic","Turkey","Süper Lig","GK",64,"Antalyaspor","65","65","67","62","67"
"12958",14391,"Sébastien Callamand","Basic","France","Domino’s Ligue 2","GK",64,"Bourg en Bresse Péronnas 01","65","67","63","61","63"
"12962",14395,"Markus Kuster","Basic","Austria","Österreichische Fußball-Bundesliga","GK",64,"SV Mattersburg","64","64","63","68","63"
"12989",14422,"Eder Chaux","Basic","Colombia","Liga Dimayor","GK",64,"Alianza Petrolera","64","69","63","60","63"
"12993",14426,"Diego Novoa","Basic","Colombia","Liga Dimayor","GK",64,"La Equidad","59","58","62","76","62"
"13000",14433,"Cristian Vargas","Basic","Colombia","Liga Dimayor","GK",64,"Atlético Nacional","66","63","64","64","64"
"13012",14445,"Nery Veloso","Basic","Chile","Campeonato Scotiabank","GK",64,"Santiago Wanderers","66","69","63","59","63"
"13042",14477,"Bingourou Kamara","Basic","France","Domino’s Ligue 2","GK",64,"Tours Football Club","66","68","63","58","63"
"13072",14507,"Christian Walton","Basic","England","EFL League Two","GK",64,"Luton Town","68","69","59","62","59"
"13077",14512,"Benjamin Bellot","Basic","Germany","Bundesliga","GK",64,"RB Leipzig","66","70","59","60","59"
"13106",14541,"Matías Giordano","Basic","Argentina","Primera División","GK",64,"Club Atlético Huracán","62","61","76","64","76"
"13121",14556,"Wilder Mosquera","Basic","Colombia","Liga Dimayor","GK",64,"Jaguares Fútbol Club","65","71","63","61","63"
"13163",14598,"Hussain Shaian","Basic","Saudi Arabia","Dawry Jameel","GK",64,"Al Nassr","64","64","65","64","65"
"13200",14635,"Patrick Wiegers","Basic","Germany","Bundesliga 2","GK",64,"SG Dynamo Dresden","64","69","61","65","61"
"13217",14652,"Ryan Meara","Basic","Republic of Ireland","Major League Soccer","GK",64,"New York Red Bulls","64","67","66","62","66"
"13263",14698,"Anthony Maisonnial","Basic","France","Ligue 1","GK",64,"AS Saint-Étienne","71","71","61","62","61"
"13280",14715,"Haydar Yilmaz","Basic","Turkey","Süper Lig","GK",64,"Alanyaspor","71","64","65","64","65"
"13284",14719,"Indy Groothuizen","Basic","Netherlands","Alka Superliga","GK",64,"FC Nordsjælland","64","67","65","61","65"
"13290",14725,"Ivan Lanni","Basic","Italy","Calcio B","GK",64,"Ascoli","67","67","61","62","61"
"13296",14731,"Benjamin Uphoff","Basic","Germany","Bundesliga 2","GK",64,"VfB Stuttgart","62","68","63","63","63"
"13327",14763,"Pietro Terracciano","Basic","Italy","Calcio B","GK",64,"Salerno","64","67","65","61","65"
"13329",14765,"Alexandr Filtsov","Basic","Russia","Sogaz Russian Football Championship","GK",64,"FC Arsenal Tula","64","67","65","58","65"
"13347",14783,"Ercüment Kafkasyali","Basic","Turkey","Süper Lig","GK",64,"Kardemir Karabükspor","65","64","69","62","69"
"13358",14794,"Jakub Slowik","Basic","Poland","T-Mobile Ekstraklasa","GK",64,"Pogon Szczecin","67","69","70","59","70"
"13359",14795,"Chris Konopka","Basic","United States","Major League Soccer","GK",64,"Portland Timbers","64","67","65","60","65"
"13363",14799,"Bobby Olejnik","Basic","Austria","EFL League Two","GK",64,"Exeter City","67","67","64","60","64"
"13413",14850,"Martin Kobras","Basic","Austria","Österreichische Fußball-Bundesliga","GK",64,"SCR Altach","65","68","66","62","66"
"13414",14851,"Erik Cummins","Basic","Netherlands","Eredivisie","GK",64,"Go Ahead Eagles","69","63","61","64","61"
"13416",14853,"Glen Moss","Basic","New Zealand","Hyundai A-League","GK",64,"Wellington Phoenix","66","65","65","61","65"
"13425",14862,"George Long","Basic","England","EFL League One","GK",64,"Sheffield United","67","69","63","63","63"
"13448",14885,"Fabián Assmann","Basic","Argentina","Primera División","GK",64,"Vélez Sarsfield","70","66","65","61","65"
"13519",14957,"Neil Etheridge","Basic","Philippines","EFL League One","GK",64,"Walsall","70","70","61","59","61"
"13520",14958,"Owain Fôn Williams","Basic","Wales","Scottish Premiership","GK",64,"Inverness Caledonian Thistle","62","69","64","61","64"
"13523",14961,"Dani Jiménez","Basic","Spain","LaLiga 1 I 2 I 3","GK",64,"AD Alcorcón","71","64","64","62","64"
"13524",14962,"Marc Vidal","Basic","France","Ligue 1","GK",64,"Toulouse Football Club","66","65","64","66","64"
"13529",14967,"Edgar Hernández","Basic","Mexico","LIGA Bancomer MX","GK",64,"Querétaro","71","68","63","54","63"
"13547",14985,"Ross Turnbull","Basic","England","EFL Championship","GK",64,"Leeds United","62","58","67","69","67"
"13565",15003,"Adam Smith","Basic","England","EFL League One","GK",64,"Northampton Town","64","68","64","62","64"
"13593",15032,"Rubén Yáñez","Basic","Spain","LaLiga Santander","GK",64,"Real Madrid","66","69","56","64","56"
"13603",15044,"Jon McLaughlin","Basic","Scotland","EFL Championship","GK",64,"Burton Albion","67","63","64","65","64"
"13606",15047,"Merveille Goblet","Basic","Belgium","Belgium Pro League","GK",64,"Waasland-Beveren","71","70","58","58","58"
"13626",15067,"Jorge De Olivera","Basic","Argentina","Liga Dimayor","GK",63,"Deportivo Pasto","55","62","63","71","63"
"13697",15140,"Jonathan Bond","Basic","England","EFL Championship","GK",63,"Reading","65","64","62","61","62"
"13698",15141,"Jonathan Bond","Basic","England","EFL League One","GK",63,"Gillingham","65","64","62","61","62"
"13785",15229,"Hendrik Van Crombrugge","Basic","Belgium","Belgium Pro League","GK",63,"KAS Eupen","68","68","58","66","58"
"13797",15241,"Jakob Haugaard","Basic","Denmark","Premier League","GK",63,"Stoke City","64","64","61","65","61"
"13834",15281,"Mehmet Dadakdeniz","Basic","Turkey","Süper Lig","GK",63,"Bursaspor","66","68","60","64","60"
"13840",15287,"Tiago Sá","Basic","Portugal","Liga NOS","GK",63,"SC Braga","68","66","61","65","61"
"13866",15313,"Ferhat Kaplan","Basic","Turkey","Süper Lig","GK",63,"Antalyaspor","61","65","65","63","65"
"13888",15336,"Matt Ingram","Basic","England","EFL Championship","GK",63,"Queens Park Rangers","68","64","64","64","64"
"13898",15346,"Lukas Zima","Basic","Czech Republic","Calcio A","GK",63,"Genoa","68","64","61","59","61"
"13909",15357,"Adam Legzdins","Basic","England","EFL Championship","GK",63,"Birmingham City","64","59","66","63","66"
"13947",15396,"Michele Arcari","Basic","Italy","Calcio B","GK",63,"Brescia","64","60","65","66","65"
"13999",15448,"Zack Steffen","Basic","United States","Major League Soccer","GK",63,"Columbus Crew SC","68","67","60","61","60"
"14026",15476,"Anton Cajtoft","Basic","Sweden","Allsvenskan","GK",63,"Jönköpings Södra IF","67","64","62","60","62"
"14039",15490,"Michael Theo","Basic","Australia","Hyundai A-League","GK",63,"Brisbane Roar","63","64","61","59","61"
"14043",15494,"Mark Howard","Basic","England","EFL League One","GK",63,"Bolton Wanderers","62","63","66","64","66"
"14048",15499,"Liborio Sánchez","Basic","Mexico","LIGA Bancomer MX","GK",63,"Jaguares de Chiapas","67","66","66","58","66"
"14068",15520,"Ben Alnwick","Basic","England","EFL League One","GK",63,"Bolton Wanderers","62","71","62","60","62"
"14069",15521,"Ben Alnwick","Basic","England","EFL League One","GK",63,"Peterborough United","62","71","62","60","62"
"14072",15524,"Ryan Clarke","Basic","England","EFL League One","GK",63,"AFC Wimbledon","64","65","61","63","61"
"14075",15527,"Lawrence Thomas","Basic","Australia","Hyundai A-League","GK",63,"Melbourne Victory","66","64","63","63","63"
"14076",15528,"Paolo Tornaghi","Basic","Italy","Major League Soccer","GK",63,"Vancouver Whitecaps FC","66","66","61","62","61"
"14086",15538,"Nick Pope","Basic","England","Premier League","GK",63,"Burnley","67","66","63","65","63"
"14133",15585,"Julien Fabri","Basic","France","Domino’s Ligue 2","GK",63,"Bourg en Bresse Péronnas 01","65","66","62","61","62"
"14142",15594,"Lee Chang Geun","Basic","Korea Republic","K LEAGUE Classic","GK",63,"Suwon FC","59","64","66","69","66"
"14150",15604,"Jesse Gonzalez","Basic","Mexico","Major League Soccer","GK",63,"FC Dallas","66","67","62","60","62"
"14155",15609,"Chris Neal","Basic","England","EFL League One","GK",63,"Fleetwood Town","61","64","63","64","63"
"14162",15616,"Daniel Lück","Basic","Germany","Österreichische Fußball-Bundesliga","GK",63,"SK Sturm Graz","66","68","61","62","61"
"14164",15618,"Alec Kann","Basic","United States","Major League Soccer","GK",63,"Sporting Kansas City","65","63","65","61","65"
"14174",15628,"Germán Parreño","Basic","Spain","LaLiga 1 I 2 I 3","GK",63,"Elche CF","60","68","61","64","61"
"14179",15633,"Alexander Kofler","Basic","Austria","Österreichische Fußball-Bundesliga","GK",63,"Wolfsberger AC","68","64","59","70","59"
"14187",15641,"Jeroen Houwen","Basic","Netherlands","Eredivisie","GK",63,"Vitesse","67","68","60","64","60"
"14189",15643,"Thomas Strakosha","Basic","Albania","Calcio A","GK",63,"Lazio","69","66","60","61","60"
"14195",15649,"Kaya Tarakçi","Basic","Turkey","Süper Lig","GK",63,"Atiker Konyaspor","64","62","68","61","68"
"14199",15653,"Alejandro Otero","Basic","Colombia","Liga Dimayor","GK",63,"Patriotas Boyacá FC","59","63","74","64","74"
"14205",15659,"David Da Costa","Basic","Switzerland","Calcio B","GK",63,"Novara","67","63","60","65","60"
"14209",15663,"Scott Loach","Basic","England","EFL League Two","GK",63,"Notts County","66","65","63","60","63"
"14210",15664,"Alexey Solosin","Basic","Russia","Sogaz Russian Football Championship","GK",63,"FC Tom Tomsk","62","63","67","64","67"
"14229",15683,"Pablo Santillo","Basic","Argentina","Primera División","GK",63,"Arsenal de Sarandí","73","58","65","63","65"
"14233",15687,"Germano Vailati","Basic","Switzerland","Raiffeisen Super League","GK",63,"FC Basel","63","61","66","66","66"
"14244",15698,"Stuart Nelson","Basic","England","EFL League One","GK",63,"Gillingham","66","67","65","55","65"
"14252",15706,"Alex Bono","Basic","United States","Major League Soccer","GK",63,"Toronto FC","65","65","66","57","66"
"14263",15718,"Veysel Sapan","Basic","Turkey","Süper Lig","GK",63,"Besiktas JK","64","67","60","62","60"
"14269",15724,"Christian Gratzei","Basic","Austria","Österreichische Fußball-Bundesliga","GK",63,"SK Sturm Graz","66","69","62","57","62"
"14282",15737,"Philipp Heerwagen","Basic","Germany","Bundesliga 2","GK",63,"FC St. Pauli Hamburg","63","68","63","60","63"
"14284",15739,"Ben Williams","Basic","England","EFL League One","GK",63,"Bury","65","64","62","62","62"
"14286",15741,"Rouven Sattelmaier","Basic","Germany","EFL League One","GK",63,"Bradford City","66","65","64","59","64"
"14290",15745,"Paddy Kenny","Basic","Republic of Ireland","EFL League One","GK",63,"Northampton Town","62","61","63","64","63"
"14298",15753,"Michael Falkesgaard","Basic","Denmark","Alka Superliga","GK",63,"Odense Boldklub","63","62","64","64","64"
"14304",15759,"Brian Murphy","Basic","Republic of Ireland","EFL Championship","GK",63,"Cardiff City","65","67","65","59","65"
"14311",15766,"Yaír Urbina","Basic","Mexico","LIGA Bancomer MX","GK",63,"Monarcas Morelia","65","66","64","59","64"
"14330",15785,"Ryan Allsop","Basic","England","Premier League","GK",63,"Bournemouth","64","67","60","58","60"
"14334",15789,"Alex Valentini","Basic","Italy","Calcio B","GK",63,"La Spezia","64","64","66","64","66"
"14345",15800,"Tommaso Berni","Basic","Italy","Calcio A","GK",63,"Inter","64","66","64","60","64"
"14350",15805,"Pier Graziano Gori","Basic","Italy","Calcio B","GK",63,"Benevento","57","61","70","61","70"
"14356",15811,"Peter Jehle","Basic","Liechtenstein","Raiffeisen Super League","GK",63,"FC Vaduz","66","66","59","64","59"
"14388",15843,"Eric Kronberg","Basic","United States","Major League Soccer","GK",63,"Montreal Impact","57","64","64","66","64"
"14389",15844,"Alexander Lund Hansen","Basic","Norway","Tippeligaen","GK",63,"Rosenborg BK","62","64","64","65","64"
"14396",15851,"Simon Eastwood","Basic","England","EFL League One","GK",63,"Oxford United","64","70","65","54","65"
"14412",15867,"Joe Murphy","Basic","Republic of Ireland","EFL Championship","GK",63,"Huddersfield Town","63","63","61","64","61"
"14460",15917,"Jed Steer","Basic","England","EFL Championship","GK",63,"Aston Villa","65","65","62","63","62"
"14470",15927,"Matías Vega","Basic","Argentina","Primera División","GK",63,"Club Atlético Aldosivi","60","48","77","58","77"
"14490",15947,"Óscar Whalley","Basic","Spain","LaLiga Santander","GK",63,"R. Sporting","66","63","60","63","60"
"14507",15964,"Aitor","Basic","Spain","LaLiga 1 I 2 I 3","GK",63,"CD Numancia","64","62","73","62","73"
"14542",15999,"Yoon Bo Sang","Basic","Korea Republic","K LEAGUE Classic","GK",63,"GwangJu FC","64","62","64","65","64"
"14585",16044,"Agustín Rossi","Basic","Argentina","Primera División","GK",63,"Defensa y Justicia","55","62","71","62","71"
"14587",16046,"Jason Steele","Basic","England","EFL Championship","GK",63,"Blackburn Rovers","62","59","69","65","69"
"14590",16049,"Pierluigi Frattali","Basic","Italy","Calcio B","GK",63,"Avellino","64","62","62","62","62"
"14591",16050,"Pierluigi Frattali","Basic","Italy","Calcio B","GK",63,"Avellino","64","62","62","62","62"
"14614",16074,"Gudmund Taksdal Kongshavn","Basic","Norway","Tippeligaen","GK",63,"Tromsø IL","65","67","63","62","63"
"14619",16079,"Dmitriy Arapov","Basic","Russia","Sogaz Russian Football Championship","GK",63,"FC Ural","68","63","59","66","59"
"14620",16080,"Dmitriy Arapov","Basic","Russia","Sogaz Russian Football Championship","GK",63,"FC Ural","68","63","59","66","59"
"14632",16092,"Stefano Minelli","Basic","Italy","Calcio B","GK",63,"Brescia","64","67","62","60","62"
"14673",16133,"Georgemy","Basic","Brazil","Liga NOS","GK",63,"Vitória Guimarães","70","66","58","61","58"
"14686",16146,"Sebastián D'Angelo","Basic","Argentina","Primera División","GK",63,"Newell's Old Boys","63","65","64","61","64"
"14688",16148,"Bardaji","Basic","Spain","LaLiga Santander","GK",63,"Real Sociedad","67","67","56","61","56"
"14691",16151,"Siyabonga Mpontshane","Basic","South Africa","Rest of World","GK",63,"Orlando Pirates","65","71","61","62","61"
"14692",16152,"Mamadou Ba","Basic","Senegal","Liga NOS","GK",63,"Boavista FC","65","70","61","60","61"
"14703",16163,"Lucas Pirard","Basic","Belgium","Belgium Pro League","GK",63,"Sint-Truidense VV","66","67","57","65","57"
"14706",16166,"Guido Guerrieri","Basic","Italy","Calcio B","GK",63,"Trapani","64","64","64","65","64"
"14708",16168,"Matthew Pyzdrowski","Basic","United States","Allsvenskan","GK",63,"Helsingborgs IF","68","73","60","54","60"
"14710",16170,"Joe Wildsmith","Basic","England","EFL Championship","GK",63,"Sheffield Wednesday","67","59","65","67","65"
"14712",16172,"Yoo Hyun","Basic","Korea Republic","K LEAGUE Classic","GK",63,"FC Seoul","68","64","64","56","64"
"14713",16173,"Luis Estacio","Basic","Colombia","Liga Dimayor","GK",63,"Deportivo Pasto","63","58","63","66","63"
"14714",16174,"Luis Estacio","Basic","Colombia","Liga Dimayor","GK",63,"Deportivo Pasto","63","58","63","66","63"
"14719",16179,"Vaso Vasic","Basic","Serbia","Raiffeisen Super League","GK",63,"Grasshopper Club Zürich","68","70","66","51","66"
"14766",16227,"Nick Hengelman","Basic","Netherlands","Eredivisie","GK",63,"FC Twente","60","66","66","61","66"
"14767",16228,"No Dong Geon","Basic","Korea Republic","K LEAGUE Classic","GK",63,"Suwon Samsung Bluewings","68","64","59","61","59"
"14770",16231,"Alessandro Damen","Basic","Netherlands","Eredivisie","GK",63,"Excelsior","65","64","65","58","65"
"14772",16233,"Samuel Sahin-Radlinger","Basic","Austria","Bundesliga 2","GK",63,"Hannover 96","63","68","62","60","62"
"14773",16234,"Gonzalo Marinelli","Basic","Argentina","Primera División","GK",63,"Club Atlético Huracán","65","67","62","62","62"
"14775",16236,"Sam Walker","Basic","England","EFL League Two","GK",63,"Colchester United","67","65","64","63","64"
"14793",16254,"Luke McGee","Basic","England","EFL League One","GK",62,"Peterborough United","67","65","59","60","59"
"14794",16255,"Luke McGee","Basic","England","Premier League","GK",62,"Tottenham Hotspur","67","65","59","60","59"
"14810",16271,"Eirik Holmen Johansen","Basic","Norway","Major League Soccer","GK",62,"New York City Football Club","60","69","61","63","61"
"14838",16299,"Ivan Provedel","Basic","Italy","Calcio B","GK",62,"Vercelli","64","64","63","60","63"
"14849",16310,"Scott Fox","Basic","Scotland","Scottish Premiership","GK",62,"Ross County FC","67","64","59","60","59"
"14852",16313,"Ali Al Mazaidi","Basic","Saudi Arabia","Dawry Jameel","GK",62,"Al Fateh","59","59","63","68","63"
"14856",16317,"Sam Slocombe","Basic","England","EFL League Two","GK",62,"Blackpool","66","66","62","57","62"
"14857",16318,"Michal Miskiewicz","Basic","Poland","T-Mobile Ekstraklasa","GK",62,"Wisla Kraków","61","63","69","64","69"
"14871",16332,"Simon Moore","Basic","England","EFL League One","GK",62,"Sheffield United","65","64","59","61","59"
"14872",16333,"Marcus Sandberg","Basic","Sweden","Tippeligaen","GK",62,"Vålerenga Fotball","59","65","65","58","65"
"14907",16368,"Ole Söderberg","Basic","Sweden","Allsvenskan","GK",62,"Kalmar FF","60","59","64","69","64"
"14929",16390,"Yosgart Gutiérrez","Basic","Mexico","LIGA Bancomer MX","GK",62,"Club Necaxa","62","59","62","65","62"
"14947",16408,"Luis Martínez","Basic","Colombia","Liga Dimayor","GK",62,"Atlético Nacional","59","59","64","64","64"
"14957",16418,"Húber Escobar","Basic","Colombia","Liga Dimayor","GK",62,"Boyacá Chicó FC","62","62","62","63","62"
"14980",16441,"Vanja Milinkovic-Savic","Basic","Serbia","T-Mobile Ekstraklasa","GK",62,"Lechia Gdansk","70","61","66","57","66"
"15037",16498,"Maxime Hautbois","Basic","France","Domino’s Ligue 2","GK",62,"Stade Lavallois Mayenne FC","62","66","59","63","59"
"15046",16508,"Brad Stuver","Basic","United States","Major League Soccer","GK",62,"Columbus Crew SC","67","64","62","58","62"
"15052",16514,"Adam Davies","Basic","England","EFL Championship","GK",62,"Barnsley","62","63","63","62","63"
"15058",16520,"Fabrice Ondoa","Basic","Cameroon","LaLiga 1 I 2 I 3","GK",62,"Sevilla Atlético","73","60","60","56","60"
"15065",16527,"Alvaro Salazar","Basic","Chile","Campeonato Scotiabank","GK",62,"Colo-Colo","64","64","59","60","59"
"15087",16549,"Lawrence Vigouroux","Basic","Chile","EFL League One","GK",62,"Swindon Town","65","67","60","60","60"
"15096",16559,"Dean Brill","Basic","England","Scottish Premiership","GK",62,"Motherwell","62","61","62","64","62"
"15102",16565,"Maurizio Pugliesi","Basic","Italy","Calcio A","GK",62,"Empoli","66","67","65","48","65"
"15111",16574,"Fernando Hurtado","Basic","Chile","Campeonato Scotiabank","GK",62,"CD Antofagasta","63","63","60","65","60"
"15129",16592,"Kim Ho Jun","Basic","Korea Republic","K LEAGUE Classic","GK",62,"Jeju United FC","64","62","63","61","63"
"15131",16594,"Daniel Offredi","Basic","Italy","Calcio B","GK",62,"Avellino","63","64","64","61","64"
"15133",16596,"Seweryn Kielpin","Basic","Poland","T-Mobile Ekstraklasa","GK",62,"Wisla Plock","64","63","63","63","63"
"15136",16599,"Grzegorz Sandomierski","Basic","Poland","T-Mobile Ekstraklasa","GK",62,"Cracovia","58","63","63","63","63"
"15139",16602,"Krzysztof Baran","Basic","Poland","T-Mobile Ekstraklasa","GK",62,"Bruk-Bet Termalica Nieciecza","64","65","64","60","64"
"15149",16612,"Trevor Carson","Basic","Northern Ireland","EFL League Two","GK",62,"Hartlepool United","64","68","61","59","61"
"15153",16616,"Leandro Gelpi","Basic","Uruguay","Liga Dimayor","GK",62,"La Equidad","59","64","72","58","72"
"15162",16625,"Marc-Aurèle Caillard","Basic","France","Domino’s Ligue 2","GK",62,"Clermont Foot 63","63","65","58","59","58"
"15164",16627,"Enrico Alfonso","Basic","Italy","Calcio B","GK",62,"Cittadella","59","63","64","64","64"
"15166",16629,"Yuriy Nesterenko","Basic","Russia","Sogaz Russian Football Championship","GK",62,"Rubin Kazan","62","69","62","59","62"
"15177",16640,"Pavel Londak","Basic","Estonia","Tippeligaen","GK",62,"Rosenborg BK","64","62","63","64","63"
"15186",16649,"Miguel Ángel Centeno","Basic","Mexico","LIGA Bancomer MX","GK",62,"Deportivo Toluca","66","66","62","62","62"
"15187",16650,"Abdullah Al Sdairy","Basic","Saudi Arabia","Dawry Jameel","GK",62,"Al Wehda","61","64","62","63","62"
"15191",16654,"Jordan Archer","Basic","Scotland","EFL League One","GK",62,"Millwall","66","68","61","58","61"
"15199",16662,"Utku Yuvakuran","Basic","Turkey","Süper Lig","GK",62,"Besiktas JK","64","64","60","60","60"
"15201",16664,"Renze Fij","Basic","Netherlands","Eredivisie","GK",62,"Heracles Almelo","62","66","62","61","62"
"15209",16672,"Alexandre Oukidja","Basic","France","Domino’s Ligue 2","GK",62,"RC Strasbourg Alsace","67","64","65","61","65"
"15221",16684,"Benjamin Siegrist","Basic","Switzerland","Raiffeisen Super League","GK",62,"FC Vaduz","66","56","61","68","61"
"15224",16687,"Per Kristian Bråtveit","Basic","Norway","Tippeligaen","GK",62,"FK Haugesund","62","64","59","63","59"
"15230",16693,"Connor Ripley","Basic","England","EFL League One","GK",62,"Oldham Athletic","66","63","62","60","62"
"15233",16696,"Jamie Jones","Basic","England","EFL League Two","GK",62,"Stevenage","65","66","59","58","59"
"15234",16697,"Nicolas","Basic","Brazil","Calcio B","GK",62,"Hellas Verona","65","64","62","61","62"
"15239",16702,"Maciej Gostomski","Basic","Poland","T-Mobile Ekstraklasa","GK",62,"Korona Kielce","64","68","69","49","69"
"15244",16707,"Cabrero","Basic","Spain","LaLiga 1 I 2 I 3","GK",62,"RCD Mallorca","60","57","64","72","64"
"15247",16710,"Mark Tyler","Basic","England","EFL League One","GK",62,"Peterborough United","67","61","65","56","65"
"15254",16717,"Ilya Pomazun","Basic","Russia","Sogaz Russian Football Championship","GK",62,"CSKA Moscow","62","66","60","64","60"
"15264",16727,"Thomas Vollnhofer","Basic","Austria","Österreichische Fußball-Bundesliga","GK",62,"SKN St. Pölten","67","58","66","64","66"
"15274",16737,"Faiz Al Subaiei","Basic","Saudi Arabia","Dawry Jameel","GK",62,"Al Taawoun","64","64","59","63","59"
"15276",16739,"Leonardo Corti","Basic","Argentina","Primera División","GK",62,"San Martín","61","63","74","58","74"
"15278",16741,"Michael Tørnes","Basic","Denmark","Eredivisie","GK",62,"Vitesse","59","68","63","61","63"
"15279",16742,"Alexandr Rudenko","Basic","Russia","Sogaz Russian Football Championship","GK",62,"FC Orenburg","60","64","62","63","62"
"15282",16745,"Luis Vasquez","Basic","Colombia","Liga Dimayor","GK",62,"Independiente Medellín","65","64","60","61","60"
"15286",16749,"Erten Ersu","Basic","Turkey","Süper Lig","GK",62,"Gaziantepspor","64","68","60","61","60"
"15331",16794,"Luis Cárdenas","Basic","Mexico","LIGA Bancomer MX","GK",62,"Monterrey","65","66","60","61","60"
"15406",16869,"Igor Rocha","Basic","Portugal","Liga NOS","GK",62,"FC Arouca","72","62","60","59","60"
"15412",16875,"Nigel Bertrams","Basic","Netherlands","Eredivisie","GK",62,"Willem II","66","60","57","67","57"
"15416",16879,"Álvaro Montero","Basic","Colombia","Primera División","GK",62,"San Lorenzo de Almagro","62","64","62","61","62"
"15437",16900,"Miguel Batista","Basic","Portugal","Liga NOS","GK",62,"Tondela","64","67","58","57","58"
"15438",16901,"Alexandr Gutor","Basic","Belarus","Sogaz Russian Football Championship","GK",62,"FC Orenburg","64","67","63","58","63"
"15453",16916,"Micheál Schlingermann","Basic","Republic of Ireland","SSE Airtricity League","GK",62,"Sligo Rovers","63","64","61","61","61"
"15489",16952,"Rafael Veloso","Basic","Portugal","Liga NOS","GK",62,"CF Os Belenenses","61","65","61","61","61"
"15509",16972,"Cantero","Basic","Spain","LaLiga Santander","GK",62,"Villarreal CF","53","64","68","69","68"
"15567",17030,"Bernabé","Basic","Spain","LaLiga Santander","GK",62,"Atlético Madrid","62","64","60","69","60"
"15655",17119,"Michael Zetterer","Basic","Germany","Bundesliga","GK",62,"SV Werder Bremen","62","64","60","65","60"
"15673",17137,"Waleed Abdullah","Basic","Saudi Arabia","Dawry Jameel","GK",62,"Al Shabab","59","64","60","60","60"
"15680",17144,"Mile Svilar","Basic","Belgium","Belgium Pro League","GK",62,"RSC Anderlecht","61","63","61","63","61"
"15735",17200,"Peter Friis Jensen","Basic","Denmark","Alka Superliga","GK",62,"Viborg FF","64","62","67","64","67"
"15736",17201,"Peter Friis Jensen","Basic","Denmark","Alka Superliga","GK",62,"Viborg FF","64","62","67","64","67"
"15757",17225,"Fahad Al Thunayan","Basic","Saudi Arabia","Dawry Jameel","GK",62,"Al Hilal","69","61","62","60","62"
"15771",17239,"Théo Defourny","Basic","France","Belgium Pro League","GK",62,"Royal Excel Mouscron","61","62","64","62","64"
"15775",17243,"Christian Dobnik","Basic","Austria","Österreichische Fußball-Bundesliga","GK",62,"Wolfsberger AC","66","63","65","59","65"
